k_x,k_y,final_pos_x,final_pos_y,final_pos_z
-0.9,-0.2,-1.403356,0.037524,0.087076
-0.8,-0.2,-1.296848,-0.068939,0.09164
-0.7,-0.2,-1.113292,-0.190595,0.08908
-0.6,-0.2,-0.913581,-0.370316,0.089293
-0.5,-0.2,-0.714561,-0.337222,0.090593
-0.4,-0.2,-0.475506,-0.246314,0.096155
-0.3,-0.2,-0.315779,-0.197817,0.102373
-0.2,-0.2,-0.140381,-0.164365,0.093458
-0.1,-0.2,-0.039376,-0.17892,0.108496
0.0,-0.2,0.025783,-0.254437,0.112011
0.1,-0.2,0.101911,-0.26717,0.087734
0.2,-0.2,0.194224,-0.204846,0.080778
0.3,-0.2,0.339967,-0.187182,0.082702
0.4,-0.2,0.590332,-0.159559,0.081141
0.5,-0.2,0.855758,-0.141286,0.065386
0.6,-0.2,1.049714,-0.045408,0.052931
0.7,-0.2,1.230829,0.05295,0.057714
0.8,-0.2,1.281204,0.080152,0.050419
0.9,-0.2,1.447036,0.153472,0.042046
1.0,-0.2,1.705279,0.263659,0.055169
-1.0,-0.1,-1.562892,0.096868,0.071157
-0.9,-0.1,-1.509155,0.297873,0.070193
-0.8,-0.1,-1.332573,0.128788,0.072636
-0.7,-0.1,-1.243879,0.153057,0.084788
-0.6,-0.1,-1.090258,0.09491,0.07982
-0.5,-0.1,-0.834956,0.003592,0.076415
-0.4,-0.1,-0.589148,-0.043048,0.079083
-0.3,-0.1,-0.321945,-0.059153,0.089548
-0.2,-0.1,-0.158345,-0.073544,0.099086
-0.1,-0.1,-0.080878,-0.135393,0.102476
0.0,-0.1,-0.010768,-0.162124,0.093688
0.1,-0.1,0.065167,-0.143146,0.089866
0.2,-0.1,0.156527,-0.099371,0.089461
0.3,-0.1,0.38074,-0.074928,0.07952
0.4,-0.1,0.682186,0.036887,0.078296
0.5,-0.1,0.908414,0.091488,0.074635
0.6,-0.1,1.026725,0.152667,0.072665
0.7,-0.1,1.239782,0.311052,0.068693
0.8,-0.1,1.392174,0.472722,0.052121
0.9,-0.1,1.394339,0.457989,0.049747
1.0,-0.1,1.517494,0.439635,0.038493
-1.0,0.0,-1.509564,0.393846,0.050819
-0.9,0.0,-1.552985,0.394203,0.052385
-0.8,0.0,-1.397059,0.33751,0.059379
-0.7,0.0,-1.284239,0.471924,0.061808
-0.6,0.0,-1.16586,0.401539,0.071356
-0.5,0.0,-0.986691,0.311948,0.066998
-0.4,0.0,-0.77455,0.239078,0.070676
-0.3,0.0,-0.454997,0.10567,0.077866
-0.2,0.0,-0.21949,0.024596,0.082926
-0.1,0.0,-0.099142,0.011662,0.090229
0.0,0.0,0.000021,0.000131,0.091615
0.1,0.0,0.089058,0.004807,0.096096
0.2,0.0,0.217766,0.039188,0.087302
0.3,0.0,0.490944,0.141141,0.086675
0.4,0.0,0.745249,0.322211,0.085799
0.5,0.0,0.949715,0.450491,0.073378
0.6,0.0,1.119431,0.43867,0.065757
0.7,0.0,1.286629,0.530579,0.057778
0.8,0.0,1.381703,0.529554,0.046105
0.9,0.0,1.516024,0.483977,0.04325
1.0,0.0,1.476542,0.395432,0.045003
-1.0,0.1,-1.516505,0.274574,0.031482
-0.9,0.1,-1.532179,0.560333,0.041035
-0.8,0.1,-1.335217,0.492408,0.04686
-0.7,0.1,-1.160333,0.444343,0.044569
-0.6,0.1,-1.041963,0.461101,0.052237
-0.5,0.1,-0.830738,0.384766,0.061115
-0.4,0.1,-0.635678,0.437442,0.070556
-0.3,0.1,-0.43937,0.365717,0.081891
-0.2,0.1,-0.188239,0.156781,0.085227
-0.1,0.1,-0.052817,0.162104,0.086364
0.0,0.1,0.038798,0.175698,0.085359
0.1,0.1,0.093008,0.145834,0.101307
0.2,0.1,0.214932,0.178934,0.098972
0.3,0.1,0.454478,0.310444,0.101909
0.4,0.1,0.656307,0.508569,0.077084
0.5,0.1,0.847178,0.613335,0.068771
0.6,0.1,0.975954,0.682248,0.06622
0.7,0.1,1.113868,0.611189,0.08156
0.8,0.1,1.243328,0.779741,0.027707
0.9,0.1,1.494958,0.565931,0.038766
1.0,0.1,1.597897,0.190652,0.033586
-1.0,0.2,-1.691662,0.419475,0.041372
-0.9,0.2,-1.526163,0.522662,0.037005
-0.8,0.2,-1.206911,0.683091,0.037657
-0.7,0.2,-1.097609,0.594201,0.040195
-0.6,0.2,-0.941145,0.408172,0.046806
-0.5,0.2,-0.666062,0.651789,0.048928
-0.4,0.2,-0.508023,0.554918,0.0684
-0.3,0.2,-0.265487,0.312489,0.073935
-0.2,0.2,-0.161581,0.298511,0.078025
-0.1,0.2,-0.130091,0.32417,0.079604
0.0,0.2,-0.022014,0.236399,0.107396
0.1,0.2,0.092781,0.247982,0.102748
0.2,0.2,0.193115,0.295185,0.094449
0.3,0.2,0.307991,0.38207,0.0852
0.4,0.2,0.538971,0.625247,0.068603
0.5,0.2,0.666687,0.732253,0.087209
0.6,0.2,0.951814,0.754922,0.090927
0.7,0.2,1.054191,0.778329,0.086637
0.8,0.2,1.119075,0.762225,0.044497
0.9,0.2,1.344461,0.693573,0.03002
1.0,0.2,1.471647,0.220934,0.046396
-1.0,0.3,-1.703662,0.350507,0.057055
-0.9,0.3,-1.383562,0.52554,0.034787
-0.8,0.3,-1.225533,0.584195,0.03662
-0.7,0.3,-1.024468,0.547442,0.038548
-0.6,0.3,-0.783837,0.613015,0.044552
-0.5,0.3,-0.512751,0.702714,0.048832
-0.4,0.3,-0.383358,0.74671,0.059468
-0.3,0.3,-0.210679,0.437326,0.066995
-0.2,0.3,-0.130542,0.446785,0.066169
-0.1,0.3,-0.160812,0.343991,0.098864
0.0,0.3,-0.033466,0.266694,0.110348
0.1,0.3,0.040138,0.250281,0.108896
0.2,0.3,0.104035,0.27137,0.095194
0.3,0.3,0.231479,0.364422,0.101177
0.4,0.3,0.489083,0.734261,0.107987
0.5,0.3,0.582359,0.857471,0.079719
0.6,0.3,0.768453,0.978796,0.068091
0.7,0.3,0.95216,0.9118,0.109607
0.8,0.3,1.149707,0.831406,0.0314
0.9,0.3,1.415726,0.480321,0.036051
1.0,0.3,1.323669,0.265505,0.039459
-1.0,0.4,-1.731737,0.249688,0.041706
-0.9,0.4,-1.213459,0.71814,0.037634
-0.8,0.4,-0.921528,0.771861,0.037249
-0.7,0.4,-0.770407,0.750853,0.037806
