Time (s), joint_torque_1, joint_torque_2, joint_torque_3, w_1, w_2, w_3
2.360, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.380, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.400, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.420, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.440, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.460, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.480, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.500, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.520, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.540, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.560, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.580, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.600, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.620, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.640, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.660, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.680, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.700, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.720, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.740, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.760, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.780, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.800, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.820, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.840, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.860, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.880, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.900, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.920, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.940, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.960, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.980, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.000, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.020, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.040, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.060, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.080, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.100, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.120, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.140, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.160, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.180, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.200, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.220, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.240, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.260, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.280, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.300, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.320, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.340, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.360, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.380, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.400, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.420, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.440, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.460, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.480, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.500, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.520, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.540, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.560, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.580, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
3.600, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
