3.700, 0.871, 0.454, 0.000
3.720, 0.868, 0.410, 0.000
3.740, 0.864, 0.359, 0.000
3.760, 0.860, 0.296, 0.000
3.780, 0.854, 0.214, 0.000
3.800, 0.847, 0.105, 0.000
3.820, 0.837, -0.046, 0.000
3.840, 0.821, -0.248, 0.000
3.860, 0.798, -0.486, 0.000
3.880, 0.764, -0.694, 0.000
3.900, 0.721, -0.813, 0.000
3.920, 0.676, -0.860, 0.000
3.940, 0.635, -0.874, 0.000
3.960, 0.596, -0.877, 0.000
3.980, 0.560, -0.875, 0.000
4.000, 0.525, -0.873, 0.000
4.020, 0.488, -0.870, 0.000
4.040, 0.449, -0.867, 0.000
4.060, 0.405, -0.864, 0.000
4.080, 0.352, -0.859, 0.000
4.100, 0.287, -0.853, 0.000
4.120, 0.203, -0.846, 0.000
