Time (s),torque_R1_J1, torque_R1_J2, torque_R1_J3, torque_R2_J1, torque_R2_J2, torque_R2_J3, torque_R3_J1, torque_R3_J2, torque_R3_J3, torque_L1_J1, torque_L1_J2, torque_L1_J3, torque_L2_J1, torque_L2_J2, torque_L2_J3, torque_L3_J1, torque_L3_J2, torque_L3_J3
0.330, 0.003, 0.343, 0.276, 0.003, 0.345, 0.279, 0.003, 0.325, 0.271, -0.003, 0.320, 0.265, -0.003, 0.340, 0.276, -0.003, 0.354, 
0.345, 0.002, 0.321, 0.254, 0.002, 0.323, 0.257, 0.002, 0.306, 0.251, -0.002, 0.300, 0.244, -0.002, 0.318, 0.254, -0.002, 0.331, 
0.345, 0.002, 0.321, 0.254, 0.002, 0.323, 0.257, 0.002, 0.306, 0.251, -0.002, 0.300, 0.244, -0.002, 0.318, 0.254, -0.002, 0.331, 
0.345, 0.002, 0.321, 0.254, 0.002, 0.323, 0.257, 0.002, 0.306, 0.251, -0.002, 0.300, 0.244, -0.002, 0.318, 0.254, -0.002, 0.331, 
0.360, 0.002, 0.299, 0.232, 0.002, 0.300, 0.235, 0.002, 0.286, 0.231, -0.002, 0.280, 0.224, -0.002, 0.296, 0.233, -0.002, 0.309, 
0.360, 0.002, 0.299, 0.232, 0.002, 0.300, 0.235, 0.002, 0.286, 0.231, -0.002, 0.280, 0.224, -0.002, 0.296, 0.233, -0.002, 0.309, 
0.360, 0.002, 0.299, 0.232, 0.002, 0.300, 0.235, 0.002, 0.286, 0.231, -0.002, 0.280, 0.224, -0.002, 0.296, 0.233, -0.002, 0.309, 
0.375, 0.002, 0.277, 0.211, 0.002, 0.279, 0.213, 0.002, 0.266, 0.210, -0.002, 0.260, 0.204, -0.002, 0.275, 0.211, -0.002, 0.287, 
0.375, 0.002, 0.277, 0.211, 0.002, 0.279, 0.213, 0.002, 0.266, 0.210, -0.002, 0.260, 0.204, -0.002, 0.275, 0.211, -0.002, 0.287, 
0.375, 0.002, 0.277, 0.211, 0.002, 0.279, 0.213, 0.002, 0.266, 0.210, -0.002, 0.260, 0.204, -0.002, 0.275, 0.211, -0.002, 0.287, 
0.390, 0.002, 0.257, 0.191, 0.002, 0.258, 0.193, 0.002, 0.248, 0.191, -0.002, 0.242, 0.184, -0.002, 0.255, 0.192, -0.002, 0.266, 
0.390, 0.002, 0.257, 0.191, 0.002, 0.258, 0.193, 0.002, 0.248, 0.191, -0.002, 0.242, 0.184, -0.002, 0.255, 0.192, -0.002, 0.266, 
0.390, 0.002, 0.257, 0.191, 0.002, 0.258, 0.193, 0.002, 0.248, 0.191, -0.002, 0.242, 0.184, -0.002, 0.255, 0.192, -0.002, 0.266, 
0.405, 0.001, 0.239, 0.173, 0.001, 0.240, 0.175, 0.001, 0.230, 0.173, -0.001, 0.225, 0.167, -0.001, 0.237, 0.174, -0.001, 0.247, 
0.405, 0.001, 0.239, 0.173, 0.001, 0.240, 0.175, 0.001, 0.230, 0.173, -0.001, 0.225, 0.167, -0.001, 0.237, 0.174, -0.001, 0.247, 
0.405, 0.001, 0.239, 0.173, 0.001, 0.240, 0.175, 0.001, 0.230, 0.173, -0.001, 0.225, 0.167, -0.001, 0.237, 0.174, -0.001, 0.247, 
0.420, 0.001, 0.222, 0.156, 0.001, 0.223, 0.158, 0.001, 0.214, 0.157, -0.001, 0.209, 0.151, -0.001, 0.221, 0.157, -0.001, 0.229, 
