Time (s),torque_R1_J1, torque_R1_J2, torque_R1_J3, torque_R2_J1, torque_R2_J2, torque_R2_J3, torque_R3_J1, torque_R3_J2, torque_R3_J3, torque_L1_J1, torque_L1_J2, torque_L1_J3, torque_L2_J1, torque_L2_J2, torque_L2_J3, torque_L3_J1, torque_L3_J2, torque_L3_J3
0.360, -0.001, -0.834, 0.040, -0.001, -0.834, 0.040, -0.001, -0.834, 0.040, 0.001, -0.834, 0.040, 0.001, -0.834, 0.040, 0.001, -0.834, 
0.360, -0.001, -0.834, 0.040, -0.001, -0.834, 0.040, -0.001, -0.834, 0.040, 0.001, -0.834, 0.040, 0.001, -0.834, 0.040, 0.001, -0.834, 
0.380, -0.001, -0.852, 0.036, -0.001, -0.852, 0.036, -0.001, -0.852, 0.036, 0.001, -0.852, 0.036, 0.001, -0.852, 0.036, 0.001, -0.852, 
0.380, -0.001, -0.852, 0.036, -0.001, -0.852, 0.036, -0.001, -0.852, 0.036, 0.001, -0.852, 0.036, 0.001, -0.852, 0.036, 0.001, -0.852, 
0.380, -0.001, -0.852, 0.036, -0.001, -0.852, 0.036, -0.001, -0.852, 0.036, 0.001, -0.852, 0.036, 0.001, -0.852, 0.036, 0.001, -0.852, 
0.400, 0.001, -0.864, 0.033, 0.001, -0.864, 0.033, 0.001, -0.864, 0.033, -0.001, -0.864, 0.033, -0.001, -0.864, 0.033, -0.001, -0.864, 
0.400, 0.001, -0.864, 0.033, 0.001, -0.864, 0.033, 0.001, -0.864, 0.033, -0.001, -0.864, 0.033, -0.001, -0.864, 0.033, -0.001, -0.864, 
0.400, 0.001, -0.864, 0.033, 0.001, -0.864, 0.033, 0.001, -0.864, 0.033, -0.001, -0.864, 0.033, -0.001, -0.864, 0.033, -0.001, -0.864, 
0.420, 0.001, -0.872, 0.032, 0.001, -0.872, 0.032, 0.001, -0.872, 0.032, 0.000, -0.872, 0.032, 0.000, -0.872, 0.032, 0.000, -0.872, 
0.420, 0.001, -0.872, 0.032, 0.001, -0.872, 0.032, 0.001, -0.872, 0.032, 0.000, -0.872, 0.032, 0.000, -0.872, 0.032, 0.000, -0.872, 
0.420, 0.001, -0.872, 0.032, 0.001, -0.872, 0.032, 0.001, -0.872, 0.032, 0.000, -0.872, 0.032, 0.000, -0.872, 0.032, 0.000, -0.872, 
0.440, -0.001, -0.874, 0.031, -0.001, -0.874, 0.031, -0.001, -0.874, 0.031, 0.001, -0.874, 0.031, 0.001, -0.874, 0.031, 0.001, -0.874, 
0.440, -0.001, -0.874, 0.031, -0.001, -0.874, 0.031, -0.001, -0.874, 0.031, 0.001, -0.874, 0.031, 0.001, -0.874, 0.031, 0.001, -0.874, 
0.440, -0.001, -0.874, 0.031, -0.001, -0.874, 0.031, -0.001, -0.874, 0.031, 0.001, -0.874, 0.031, 0.001, -0.874, 0.031, 0.001, -0.874, 
0.460, 0.000, -0.872, 0.032, 0.000, -0.872, 0.032, 0.000, -0.872, 0.032, -0.001, -0.872, 0.032, -0.001, -0.872, 0.032, -0.001, -0.872, 
0.460, 0.000, -0.872, 0.032, 0.000, -0.872, 0.032, 0.000, -0.872, 0.032, -0.001, -0.872, 0.032, -0.001, -0.872, 0.032, -0.001, -0.872, 
0.460, 0.000, -0.872, 0.032, 0.000, -0.872, 0.032, 0.000, -0.872, 0.032, -0.001, -0.872, 0.032, -0.001, -0.872, 0.032, -0.001, -0.872, 
0.480, 0.001, -0.866, 0.034, 0.001, -0.866, 0.034, 0.001, -0.866, 0.034, -0.001, -0.866, 0.034, -0.001, -0.866, 0.034, -0.001, -0.866, 
0.480, 0.001, -0.866, 0.034, 0.001, -0.866, 0.034, 0.001, -0.866, 0.034, -0.001, -0.866, 0.034, -0.001, -0.866, 0.034, -0.001, -0.866, 
0.480, 0.001, -0.866, 0.034, 0.001, -0.866, 0.034, 0.001, -0.866, 0.034, -0.001, -0.866, 0.034, -0.001, -0.866, 0.034, -0.001, -0.866, 
0.500, -0.001, -0.859, 0.036, -0.001, -0.859, 0.036, -0.001, -0.859, 0.036, 0.001, -0.859, 0.036, 0.001, -0.859, 0.036, 0.001, -0.859, 
0.500, -0.001, -0.859, 0.036, -0.001, -0.859, 0.036, -0.001, -0.859, 0.036, 0.001, -0.859, 0.036, 0.001, -0.859, 0.036, 0.001, -0.859, 
0.500, -0.001, -0.859, 0.036, -0.001, -0.859, 0.036, -0.001, -0.859, 0.036, 0.001, -0.859, 0.036, 0.001, -0.859, 0.036, 0.001, -0.859, 
0.520, -0.001, -0.851, 0.038, -0.001, -0.851, 0.038, -0.001, -0.851, 0.038, 0.001, -0.851, 0.038, 0.001, -0.851, 0.038, 0.001, -0.851, 
0.520, -0.001, -0.851, 0.038, -0.001, -0.851, 0.038, -0.001, -0.851, 0.038, 0.001, -0.851, 0.038, 0.001, -0.851, 0.038, 0.001, -0.851, 
0.520, -0.001, -0.851, 0.038, -0.001, -0.851, 0.038, -0.001, -0.851, 0.038, 0.001, -0.851, 0.038, 0.001, -0.851, 0.038, 0.001, -0.851, 
0.540, 0.001, -0.843, 0.039, 0.001, -0.843, 0.039, 0.001, -0.843, 0.039, -0.001, -0.843, 0.039, -0.001, -0.843, 0.039, -0.001, -0.843, 
0.540, 0.001, -0.843, 0.039, 0.001, -0.843, 0.039, 0.001, -0.843, 0.039, -0.001, -0.843, 0.039, -0.001, -0.843, 0.039, -0.001, -0.843, 
0.540, 0.001, -0.843, 0.039, 0.001, -0.843, 0.039, 0.001, -0.843, 0.039, -0.001, -0.843, 0.039, -0.001, -0.843, 0.039, -0.001, -0.843, 
0.560, 0.001, -0.836, 0.041, 0.001, -0.836, 0.041, 0.001, -0.836, 0.041, 0.000, -0.836, 0.041, 0.000, -0.836, 0.041, 0.000, -0.836, 
0.560, 0.001, -0.836, 0.041, 0.001, -0.836, 0.041, 0.001, -0.836, 0.041, 0.000, -0.836, 0.041, 0.000, -0.836, 0.041, 0.000, -0.836, 
0.560, 0.001, -0.836, 0.041, 0.001, -0.836, 0.041, 0.001, -0.836, 0.041, 0.000, -0.836, 0.041, 0.000, -0.836, 0.041, 0.000, -0.836, 
